region_1,mean_region_1
Côte Roannaise,23.0
Côte Rôtie,53.111111111111114
Côte de Beaune,49.0
Côte de Beaune-Villages,31.5
Côte de Brouilly,24.0
Côte de Nuits-Villages,30.733333333333334
Côtes Catalanes,15.333333333333334
Côtes de Bergerac,33.5
Côtes de Bordeaux,22.318181818181817
Côtes de Bourg,22.476744186046513
Côtes de Castillon,25.5
Côtes de Duras,25.5
Côtes de Forez,15.0
Côtes de Gascogne,14.5125
Côtes de Nuits Villages,47.333333333333336
Côtes de Provence,20.877581120943955
Côtes de Provence La Londe,23.846153846153847
Côtes de Provence Sainte-Victoire,26.408163265306122
Côtes de Saint-Mont,54.0
Côtes de Thau,12.666666666666666
Côtes de Thongue,17.0
Côtes du Frontonnais,18.0
Côtes du Jura,30.571428571428573
Côtes du Lot,18.363636363636363
Côtes du Luberon,22.75
Côtes du Marmandais,18.962962962962962
Côtes du Rhône,20.40983606557377
Côtes du Rhône Villages,24.627906976744185
Côtes du Roussillon,24.0
Côtes du Roussillon Villages,29.714285714285715
Côtes du Roussillon Villages Caramany,32.0
Côtes du Roussillon Villages Tautavel,35.714285714285715
Côtes du Tarn,18.115384615384617
Côtes-du-Ventoux,20.666666666666668
Del Veneto,18.0
Delia Nivolelli,19.0
Delle Venezie,18.78021978021978
Diamond Mountain District,53.15068493150685
Diano d'Alba,28.0
Dogliani,25.125
Dogliani Superiore,29.5
Dolcetto d'Acqui,22.0
Dolcetto d'Alba,22.56578947368421
Dolcetto d'Alba Superiore,17.0
Dolcetto d'Asti,21.0
Dolcetto di Diano d'Alba,30.333333333333332
Dolcetto di Dogliani,27.571428571428573
Dolcetto di Dogliani Superiore,37.0
Dominio de Valdepusa,34.75
Dry Creek Valley,31.754716981132077
Dundee Hills,40.81135902636917
Dunnigan Hills,20.135135135135137
Echézeaux,60.0
Eden Valley,30.93617021276596
Edna Valley,33.63089005235602
El Dorado,27.82274247491639
El Dorado County,30.36842105263158
El Pomar District,35.6
Elkton Oregon,22.846153846153847
Eloro,20.666666666666668
Emilia,14.666666666666666
Emilia-Romagna,28.636363636363637
Emporadà-Costa Brava,44.0
Empordà,34.166666666666664
Entre-Deux-Mers,16.029411764705884
Eola-Amity Hills,36.47348484848485
Epomeo,42.0
Erbaluce di Caluso,38.0
Erice,21.3
Est! Est!! Est!!! di Montefiascone,12.0
Etna,33.583333333333336
Extremadura,21.09090909090909
Fair Play,29.583333333333332
Falanghina del Beneventano,18.5
Falanghina del Molise,27.0
Falanghina del Sannio,20.75
Falerio,18.333333333333332
Falerio dei Colli Ascolani,14.0
Falerno del Massico,33.75
Famatina Valley,15.88888888888889
Fara,41.5
Faro,38.0
Faugères,28.857142857142858
Fiano di Avellino,29.494505494505493
Fiddletown,32.256410256410255
Finger Lakes,21.950643776824034
Fitou,23.5
Fixin,33.0
Fleurie,26.26027397260274
Fleurieu Peninsula,28.0
Forlì,27.375
Fort Ross-Seaview,47.5
France,19.333333333333332
Franciacorta,52.98429319371728
Francs Côtes de Bordeaux,21.59090909090909
Frankland River,32.11764705882353
Frascati,13.0
Frascati Superiore,17.833333333333332
Friuli,29.3
Friuli Aquileia,26.0
Friuli Colli Orientali,19.894736842105264
Friuli Grave,19.46153846153846
Friuli Isonzo,32.86486486486486
Friuli Venezia Giulia,27.25
Fronsac,26.151515151515152
Fronton,21.705882352941178
Gaillac,23.322916666666668
Gaillac Doux,40.0
Galatina,25.0
Galluccio,20.0
Gambellara Classico,24.5
Gard,13.333333333333334
Garda,21.333333333333332
Garda Classico,24.0
Gattinara,55.60606060606061
Gavi,22.571428571428573
Gavi di Gavi,26.0
Geelong,19.0
Geographe,30.0
Gers,32.888888888888886
Getariako Txakolina,19.264705882352942
Gevrey-Chambertin,50.875
Ghemme,43.93333333333333
Gigondas,37.892857142857146
Gioia del Colle,31.0
Gippsland,50.0
Givry,30.666666666666668
Goulburn Valley,20.0
Grampians,31.333333333333332
Grand River Valley,18.1
Grand Valley,25.264705882352942
Grave del Friuli,11.0
Graves,27.11111111111111
Great Southern,30.57894736842105
Greco di Tufo,26.349397590361445
Green Valley,44.16494845360825
Guenoc Valley,35.6
Gundagai,53.0
Gutturnio Colli Piacentini,33.0
Happy Canyon of Santa Barbara,34.80794701986755
Haut-Médoc,27.877551020408163
Hautes Cotes de Beaune,23.666666666666668
Hautes Côtes de Nuits,22.0
Hawaii,51.0
Heathcote,42.19047619047619
Hermitage,47.666666666666664
High Valley,25.4390243902439
Hilltops,39.0
Horse Heaven Hills,28.866935483870968
Howell Mountain,49.94845360824742
Hudson River Region,23.43548387096774
Humboldt County,31.166666666666668
Hunter Valley,29.78048780487805
Idaho,23.03846153846154
Ile de Beauté,14.92
Illinois,51.0
Iowa,21.75
Irancy,23.333333333333332
Irpinia,26.254545454545454
Irrouléguy,27.5
Ischia,28.333333333333332
Isle St. George,18.0
Isola dei Nuraghi,33.84090909090909
Isonzo del Friuli,24.928571428571427
Italy,24.176470588235293
Jerez,40.875
Juliénas,26.10810810810811
Jumilla,18.70807453416149
Jurançon,31.242424242424242
Jurançon Sec,25.193548387096776
Kangaroo Island,38.0
Kelsey Bench-Lake County,31.5
Kentucky,34.0
King Valley,23.25
Knights Valley,34.64545454545455
La Clape,26.0
La Consulta,23.928571428571427
La Mancha,15.649484536082474
La Rioja,18.2
Lacryma Christi del Vesuvio,21.846153846153847
Ladoix,39.4
Lago di Corbara,31.666666666666668
Lake Chelan,27.9
Lake County,24.277310924369747
Lake County-Mendocino County,21.2
Lake County-Sonoma County,29.0
Lake Erie,17.0
Lake Erie North Shore,15.625
Lake Michigan Shore,25.652173913043477
Lake-Sonoma-Napa,27.0
Lalande de Pomerol,30.35185185185185
Lambrusco Grasparossa di Castelvetro,24.26923076923077
Lambrusco Reggiano,15.0
Lambrusco Salamino di Santa Croce,30.0
Lambrusco dell'Emilia,26.0
Lambrusco di Modena,23.166666666666668
Lambrusco di Sorbara,23.95
Lamezia,23.0
Landes,13.0
Langhe,27.988372093023255
Langhorne Creek,23.703703703703702
Langhorne Creek-Limestone Coast,27.0
Languedoc,17.6
Lanzarote,15.75
Laudun,23.8
Lazio,20.57894736842105
Leelanau Peninsula,23.916666666666668
Lenswood,53.5
Les Baux de Provence,22.416666666666668
Lessini Durello,36.57142857142857
Lessona,49.875
Lime Kiln Valley,38.0
Limestone Coast,29.533333333333335
Limoux,27.6
Lirac,27.2
Lison-Pramaggiore,23.5
Listrac-Médoc,28.151515151515152
Livermore Valley,32.32518337408313
Lodi,21.856010568031703
Lombardy,43.0
Long Island,27.27777777777778
Los Carneros,32.9625
Lot,18.2
Luberon,19.705882352941178
Lugana,25.116438356164384
Lugana Superiore,24.666666666666668
Luján de Cuyo,23.15573770491803
Lussac Saint-Émilion,28.772727272727273
Macon-Bussières,15.666666666666666
Madera,26.181818181818183
Madiran,33.22727272727273
Madrid,30.0
Maipú,18.454545454545453
Malibu Coast,36.5
Malibu-Newton Canyon,37.0
Malvasia delle Lipari,36.0
Mamertino,29.0
Manchuela,24.5
Manzanilla-Sanlúcar de Barrameda,31.333333333333332
Maranges,32.5
Marca Trevigiana,25.714285714285715
Marche,18.058823529411764
Marcillac,17.714285714285715
Maremma,26.511111111111113
Maremma Toscana,31.092105263157894
Margaret River,31.868613138686133
Margaux,36.43636363636364
Marin County,38.660377358490564
Marsala,30.666666666666668
Marsannay,30.5
Martina,15.0
Maury,35.0
Maury Sec,30.0
McDowell Valley,37.0
McLaren Vale,31.73046875
McLaren Vale-Adelaide Hills,26.8
McLaren Vale-Padthaway,39.0
McMinnville,35.63025210084034
Mediterranée,14.35483870967742
Mendocino,28.266862170087975
Mendocino County,25.934959349593495
Mendocino Ridge,37.12162162162162
Mendocino-Amador,34.0
Mendocino-Lake,19.333333333333332
Mendocino-Lake County-Napa,22.0
Mendoza,19.428939237899073
Menetou-Salon,21.868852459016395
Menfi,21.0
Mentrida,20.0
Mercurey,33.06930693069307
Meursault,49.885245901639344
Meursault-Blagny,61.0
Michigan,19.615384615384617
Middleburg,21.045454545454547
Minervois,24.72972972972973
Minervois La Liviniere,27.333333333333332
Missouri,18.0
Mitterberg,21.0
Mokelumne River,28.15
Molise,26.818181818181817
Monbazillac,21.88888888888889
Monferrato,24.666666666666668
Monferrato Bianco,20.0
Monica di Sardegna,21.285714285714285
Monreale,27.333333333333332
Montagne-Saint-Émilion,25.9
Montagny,27.0
Montecarlo,20.666666666666668
Montecucco,26.894736842105264
Montefalco,24.5
Montefalco Rosso,28.46153846153846
Montefalco Sagrantino,40.88461538461539
Montello e Colli Asolani,41.5
Montenetto di Brescia,16.5
Montepulciano d'Abruzzo,20.201834862385322
Montepulciano d'Abruzzo Cerasuolo,19.333333333333332
Montepulciano d'Abruzzo Colline Teramane,36.76923076923077
Monteregio di Massa Marittima,30.0
Monterey,24.429906542056074
Monterey County,21.752475247524753
Monterey County-Napa County,18.0
Monterey County-Napa County-Sonoma County,13.0
Monterey-San Luis Obispo-Santa Barbara,12.0
Monterey-Santa Barbara,34.333333333333336
Monterey-Santa Barbara-Sonoma,23.333333333333332
Monterey-Santa Cruz,47.0
Monterrei,18.25
Montescudaio,32.142857142857146
Monthélie,39.25
Monticello,23.94326241134752
Montilla-Moriles,34.666666666666664
Montravel,29.615384615384617
Montsant,25.011363636363637
Moon Mountain District Sonoma County,40.93333333333333
Morellino di Scansano,26.1125
Morey-Saint-Denis,46.81818181818182
Morgon,26.23931623931624
Mornington Peninsula,41.12
Moscadello di Montalcino,51.666666666666664
Moscato d'Asti,19.833333333333332
Moscato di Noto,27.0
Moulin-à-Vent,26.76388888888889
Moulis-en-Médoc,29.884615384615383
Mount Barker,35.4
Mount Barker & Margaret River,46.0
Mount Harlan,49.2
Mount Veeder,48.601694915254235
Mt. Harlan,47.42372881355932
Mudgee,26.666666666666668
Murgia,19.0
Murray-Darling,19.0
Muscadet,17.714285714285715
Muscadet Coteaux de la Loire,16.333333333333332
Muscadet Côtes de Grandlieu,19.434782608695652
Muscadet Sèvre et Maine,22.27127659574468
Muscadet Sèvre et Maine Clisson,33.333333333333336
Muscat de Beaumes de Venise,28.166666666666668
Muscat de Rivesaltes,26.6
Muscat de Saint-Jean de Minervois,29.0
Málaga,24.333333333333332
Mâcon,17.75
Mâcon Chaintré,18.0
Mâcon La Roche Vineuse,20.5
Mâcon Solutré,19.333333333333332
Mâcon-Azé,24.333333333333332
Mâcon-Chardonnay,19.5
Mâcon-Charnay,28.333333333333332
Mâcon-Cruzille,17.25
Mâcon-Davayé,22.5
Mâcon-Fuissé,23.142857142857142
Mâcon-Loché,16.666666666666668
Mâcon-Lugny,19.9375
Mâcon-Milly Lamartine,18.714285714285715
Mâcon-Pierreclos,26.0
Mâcon-Péronne,20.0
Mâcon-Uchizy,23.666666666666668
Mâcon-Vergisson,21.0
Mâcon-Verze,30.0
Mâcon-Villages,16.4
Mâcon-Vinzelles,14.0
Médoc,24.99009900990099
Naches Heights,26.0
Nagambie Lakes,27.11111111111111
Napa County,28.666666666666668
Napa County-Lake County,21.0
Napa County-Sonoma County,40.47826086956522
Napa County-Sonoma County-Lake County,19.5
Napa County-Sonoma County-San Joaquin County,24.0
Napa Valley,38.413733410271206
Napa Valley-Paso Robles,36.0
Napa-Amador,35.0
Napa-Carneros,28.5
Napa-Mendocino-Sonoma,28.0
Napa-Mendocino-Sonoma-Marin,46.8
Napa-Sonoma,39.72727272727273
Napa-Sonoma-Marin,44.0
Nasco di Cagliari,26.0
Navarra,18.123711340206185
Nebbiolo d'Alba,27.44736842105263
Neuquén,19.428571428571427
Nevada,21.666666666666668
Nevada County,24.4
New Jersey,25.8
New Mexico,25.22222222222222
New South Wales,24.0
New York,20.363636363636363
Niagara Escarpment,22.2
Niagara Peninsula,34.61538461538461
Niagara-On-The-Lake,36.5
North Carolina,20.75
North Coast,25.298076923076923
North Fork of Long Island,26.54423076923077
Northern Sonoma,26.384615384615383
Noto,31.833333333333332
Nuits-St.-Georges,49.271186440677965
Nuragus di Cagliari,21.0
Oak Knoll District,38.69166666666667
Oakville,44.85
Offida Passerina,18.0
Offida Pecorino,23.36842105263158
Ohio,13.0
Okanagan Valley,30.666666666666668
Old Mission Peninsula,22.285714285714285
Oltrepò Pavese,28.0
Orange,28.0
Orcia,33.375
Oregon,24.393034825870647
Oregon Other,37.666666666666664
Orvieto,17.8
Orvieto Classico,15.090909090909092
Orvieto Classico Superiore,24.894736842105264
Outer Coastal Plain,25.0
Pacherenc du Vic Bilh,28.357142857142858
Padthaway,33.42857142857143
Paestum,24.0
Pago de Arínzano,17.5
Paicines,24.11111111111111
Paso Robles,31.464171611136468
Paso Robles Highlands District,20.0
Paso Robles Willow Creek District,39.5
Passito di Pantelleria,39.0
Patagonia,19.52542372881356
Patrimonio,21.789473684210527
Pauillac,39.23809523809524
Pavia,17.333333333333332
Pays d'Oc,14.642201834862385
Pays de Loire,12.0
Pedernal Valley,13.0
Pemberton,29.454545454545453
Penedès,22.285714285714285
Penisola Sorrentina,17.0
Pennsylvania,24.4
Perdriel,31.0
Pernand-Vergelesses,41.22222222222222
Pessac-Léognan,33.40449438202247
Petit Chablis,19.705882352941178
Piave,21.41176470588235
Piccadilly Valley,39.0
Picpoul de Pinet,15.8
Piedmont,22.586206896551722
Piemonte,36.714285714285715
Pine Mountain-Cloverdale Peak,31.833333333333332
Pla de Bages,29.833333333333332
Placer County,26.333333333333332
Polk County,58.0
Pomerol,39.48148148148148
Pomino,34.714285714285715
Pommard,49.68181818181818
Pompeiano,24.25
Potter Valley,20.74468085106383
Pouilly-Fuissé,30.098214285714285
Pouilly-Fumé,29.93577981651376
Pouilly-Loché,26.647058823529413
Pouilly-Vinzelles,25.1
Pouilly-sur-Loire,20.5
Premieres Côtes de Blaye,32.714285714285715
Premieres Côtes de Bordeaux,26.916666666666668
Primitivo del Salento,17.666666666666668
Primitivo di Manduria,26.37037037037037
Prince Edward County,33.0
Priorat,33.84076433121019
Prosecco,27.15267175572519
Prosecco Superiore di Cartizze,46.2
Prosecco Treviso,31.266666666666666
Prosecco del Veneto,29.107142857142858
Prosecco di Conegliano,31.8
Prosecco di Conegliano e Valdobbiadene,33.292682926829265
Prosecco di Valdobbiadene,35.55555555555556
Prosecco di Valdobbiadene Superiore,30.333333333333332
Provincia di Pavia,15.5
Puget Sound,19.0
Puglia,20.35632183908046
Puisseguin Saint-Émilion,30.0
Puligny-Montrachet,52.8
Pyrenees,38.666666666666664
Pécharmant,39.333333333333336
Périgord,10.0
Quarts de Chaume,32.0
Quincy,20.133333333333333
Ramona Valley,16.0
Rasteau,34.0
Rattlesnake Hills,24.397727272727273
Recioto della Valpolicella Classico,44.45454545454545
Recioto di Soave,33.5
Recioto di Soave Classico,38.0
Red Hills Lake County,33.45454545454545
Red Mountain,39.87910447761194
Redwood Valley,32.73529411764706
Reuilly,18.0
Ribbon Ridge,38.32231404958678
Ribeira Sacra,23.208333333333332
Ribeiro,21.52
Ribera del Duero,28.848948374760994
Ribera del Guadiana,12.6
Ribera del Júcar,19.333333333333332
Rioja,25.607232968881412
River Junction,16.0
Riverina,24.0
Riverland,22.0
Rivesaltes,40.0
Rivesaltes Rosé,23.0
Riviera Ligure di Ponente,18.666666666666668
Roccamonfina,30.0
Rockpile,40.55555555555556
Roero,25.285714285714285
Roero Arneis,25.375
Rogue Valley,25.778082191780822
Romagna,21.677419354838708
Rosazzo,42.0
Rosso Conero,21.4
Rosso Piceno,18.071428571428573
Rosso Piceno Superiore,23.0
Rosso del Veronese,33.6875
Rosso di Cerignola,36.0
Rosso di Montalcino,25.604743083003953
Rosso di Montepulciano,20.457943925233646
Rosso di Toscana,26.0
Rosé d'Anjou,12.151515151515152
Rosé de Loire,13.6
Roussette de Savoie,24.0
Rubicone,21.333333333333332
Ruché di Castagnole Monferrato,26.8
Rueda,17.284046692607003
Rully,32.6551724137931
Russian River Valley,37.7702473737716
Rutherford,42.256410256410255
Rutherglen,41.86666666666667
Régnié,19.733333333333334
Rías Baixas,22.321875
Río Negro Valley,21.875
Sable de Camargue,17.555555555555557
Saddle Rock-Malibu,48.333333333333336
Sagrantino di Montefalco,44.63636363636363
Saint Guilhem le Désert,25.0
Saint-Amour,24.09375
Saint-Aubin,39.53125
Saint-Bris,16.5
Saint-Chinian,22.666666666666668
Saint-Chinian-Roquebrun,24.0
Saint-Croix-du-Mont,26.0
Saint-Estèphe,34.46969696969697
Saint-Georges-Saint-Émilion,26.333333333333332
Saint-Joseph,40.18518518518518
Saint-Julien,38.18181818181818
Saint-Mont,25.625
Saint-Nicolas-de-Bourgueil,29.22222222222222
Saint-Péray,36.333333333333336
Saint-Romain,34.0
Saint-Véran,23.058252427184467
Saint-Émilion,32.411764705882355
Sainte-Foy Bordeaux,27.0
Salento,20.885496183206108
Salice Salentino,22.55263157894737
Salina,28.8
Salta,18.24
San Antonio Valley,26.125
San Benito County,36.078947368421055
San Bernabe,23.75
San Carlos,26.75
San Diego County,30.5
San Francisco Bay,26.0
San Francisco Bay-Livermore Valley,23.25
San Gimignano,22.5
San Juan,14.955223880597014
San Lucas,15.0
San Luis Obispo,28.153846153846153
San Luis Obispo County,34.44094488188976
San Marino,28.5
San Martino della Battaglia,21.0
San Rafael,22.0
Sancerre,27.063084112149532
Sangiovese di Romagna,25.714285714285715
Sangiovese di Romagna Superiore,28.88235294117647
Sannio,23.375
Sant'Antimo,49.8
Santa Barbara,28.76923076923077
Santa Barbara County,30.626881720430106
Santa Barbara-Monterey,33.0
Santa Clara County,31.666666666666668
Santa Clara Valley,31.0
Santa Cruz County,37.0
Santa Cruz Mountains,40.504950495049506
Santa Lucia Highlands,38.833551769331585
Santa Margarita Ranch,23.0
Santa Maria Valley,40.00299850074963
Santa Ynez Valley,32.43841059602649
Santenay,36.41860465116279
Sardinia,29.0
Sardon de Duero,36.0
Saumur,27.11111111111111
Saumur-Champigny,30.77777777777778
Saussignac,35.0
Sauternes,35.38235294117647
Savennières,37.54545454545455
Savigny-lès-Beaune,38.67045454545455
Savoie,18.045454545454547
Sebino,14.0
Seneca Lake,23.30952380952381
Sforzato di Valtellina,53.875
Shenandoah Valley,20.107142857142858
