title,winery,millesime,designation,variety,country,province,region_1,region_2,price,points,description,taster_name,taster_twitter_handle,clean
Henri de Villamont 2016 Les Chatelots Premier Cru  (Chambolle-Musigny),Henri de Villamont,2016.0,Les Chatelots Premier Cru,Pinot Noir,France,Burgundy,Chambolle-Musigny,,66.0,92,"Rich and opulent, this is a full-throated Pinot Noir. It has ripe berry flavors and a balancing acidity that supports a dense texture and underlay of firm tannins. While delicious now, this is a wine that will improve with aging so drink from 2020.",Roger Voss,@vossroger,rich opulent fullthroate pinot noir ripe berry flavor balance acidity support dense texture underlay firm tannin delicious wine improve age drink 2020
Henri de Villamont 2016 Les Feusselottes Premier Cru  (Chambolle-Musigny),Henri de Villamont,2016.0,Les Feusselottes Premier Cru,Pinot Noir,France,Burgundy,Chambolle-Musigny,,65.0,92,"This wine is ripe, rich and full in the mouth, like a fruit salad of red cherries, plums and berries. Yet there's a more solid side—rounded tannins support the concentrated fruits, and touches of wood aging broaden the feel of this impressive wine. Drink from 2021.",Roger Voss,@vossroger,wine ripe rich full mouth like fruit salad red cherry plum berry yet there s solid side — rounded tannin support concentrate fruit touch wood aging broaden feel impressive wine drink 2021
Domaine Jeannin-Naltet 2020 Le Clos l'Evêque Premier Cru  (Mercurey),Domaine Jeannin-Naltet,2020.0,Le Clos l'Evêque Premier Cru,Pinot Noir,France,Burgundy,Mercurey,,41.0,91,"From a walled vineyard once owned by the local bishop, this wine is structured and firm while also having great red cherry and berry fruit. It's one of a number of Premier Crus from this producer—and certainly the most expressive with its generous fruit and balanced tannins. Drink from 2022.",Roger Voss,@vossroger,walled vineyard own local bishop wine structure firm also great red cherry berry fruit one number premier crus producer — and certainly expressive generous fruit balanced tannin drink 2022
Cave de Viré 2021 Grande Réserve du Président  (Mâcon-Villages),Cave de Viré,2021.0,Grande Réserve du Président,Chardonnay,France,Burgundy,Mâcon-Villages,,13.0,85,"This soft wine has a gentle texture and smooth white fruits. It is fruity and lightly perfumed. With its crisp edge of acidity, is totally ready to drink.",Roger Voss,@vossroger,soft wine gentle texture smooth white fruit fruity lightly perfume crisp edge acidity totally ready drink
Domaine Michel Goubard 2020 Mont-Avril  (Côte Chalonnaise),Domaine Michel Goubard,2020.0,Mont-Avril,Pinot Noir,France,Burgundy,Côte Chalonnaise,,17.0,85,"This is a soft and jammy wine with attractive ripe strawberry fruit and only the lightest structure. It is gentle, rounded and ready to drink.",Roger Voss,@vossroger,soft jammy wine attractive ripe strawberry fruit light structure gentle round ready drink
Domaine Poulleau Père et Fils 2020  Chorey-lès-Beaune,Domaine Poulleau Père et Fils,2020.0,,Pinot Noir,France,Burgundy,Chorey-lès-Beaune,,24.0,85,"This wine is extracted and tough. The acidity does come through to help out, although it still has a hard edge with some bitter toast. It will soften, leaving some perfumed fruit for the future.",Roger Voss,@vossroger,wine extract tough acidity come help although still hard edge bitter toast soften leave perfumed fruit future
Patriarche Père et Fils 2020  Coteaux Bourguignons,Patriarche Père et Fils,2020.0,,Pinot Noir-Gamay,France,Burgundy,Coteaux Bourguignons,,12.0,85,This light and fruity wine offers soft tannins and an earthy character. The wine comes mainly from Beaujolais with 15% of Pinot Noir from the Mâcon region. Drink now.,Roger Voss,@vossroger,light fruity wine offer soft tannin earthy character wine come mainly beaujolais 15 pinot noir mâcon region drink
Paul Reitz 2020  Saint-Véran,Paul Reitz,2020.0,,Chardonnay,France,Burgundy,Saint-Véran,,16.0,85,"This wine has acidity and a good balance between the fresh, crisp character and the richer yellow fruits. It is ready to drink.",Roger Voss,@vossroger,wine acidity good balance fresh crisp character rich yellow fruit ready drink
Domaine Collotte 2020 Clos de Jeu  (Marsannay),Domaine Collotte,2020.0,Clos de Jeu,Pinot Noir,France,Burgundy,Marsannay,,,90,"With tannins and new-wood flavors, this rich wine is also structured. A smoky character from the wood is shot through by perfumed red fruits. The aftertaste shows more of the wood flavors that need to integrate. Drink from 2022.",Roger Voss,@vossroger,tannin newwood flavor rich wine also structure smoky character wood shot perfume red fruit aftertaste show wood flavor need integrate drink 2022
Domaine Faiveley 2020  Gevrey-Chambertin,Domaine Faiveley,2020.0,,Pinot Noir,France,Burgundy,Gevrey-Chambertin,,43.0,90,"This is a blend from most parts of the village, with fruit from 14 different parcels. It is solid and firm while also having great swathes of raspberries and red plums laced together with acidity. The aftertaste is perfumed with a fresh lift. Drink from 2022",Roger Voss,@vossroger,blend part village fruit 14 different parcel solid firm also great swathe raspberry red plum lace together acidity aftertaste perfume fresh lift drink 2022
Domaine Jacques Prieur 2020 Grèves Premier Cru  (Beaune),Domaine Jacques Prieur,2020.0,Grèves Premier Cru,Chardonnay,France,Burgundy,Beaune,,61.0,90,"Young vines, planted in 2011, give a fresh, fruity wine with attractive citrus and zingy orange flavors. It is ripe and deliciously perfumed with a touch of minerality and saltiness. Drink from 2023.",Roger Voss,@vossroger,young vine plant 2011 give fresh fruity wine attractive citrus zingy orange flavor ripe deliciously perfume touch minerality saltiness drink 2023
Domaine René Bouvier 2020 Champ Salomon  (Marsannay),Domaine René Bouvier,2020.0,Champ Salomon,Pinot Noir,France,Burgundy,Marsannay,,,90,"With intense acidity, this wine has both good structure and red currant and raspberry fruits. It is bright, fresh and almost crisp in character. In the background, the tannins show the dense texture of the wine. It will need to age, so don't drink before 2023.",Roger Voss,@vossroger,intense acidity wine good structure red currant raspberry fruit bright fresh almost crisp character background tannin show dense texture wine need age do not drink 2023
Bailly-Lapierre NV La Burgondie Rosé Brut  (Crémant de Bourgogne),Bailly-Lapierre,,La Burgondie Rosé Brut,Sparkling Blend,France,Burgundy,Crémant de Bourgogne,,28.0,88,"Packed with red fruits and crisp acidity, this lively wine has a tight mousse, while the red-currant fruitiness adds intense acidity. The wine is bright and ready to drink.",Roger Voss,@vossroger,pack red fruit crisp acidity lively wine tight mousse redcurrant fruitiness add intense acidity wine bright ready drink
Cave des Vignerons de Buxy 2020  Mâcon-Villages,Cave des Vignerons de Buxy,2020.0,,Chardonnay,France,Burgundy,Mâcon-Villages,,19.0,88,"This tangy wine has attractive acidity and a tightly coiled mineral texture. Apple and lemon flavors shoot right through the bright, crisp texture. Drink from 2021.",Roger Voss,@vossroger,tangy wine attractive acidity tightly coil mineral texture apple lemon flavor shoot right bright crisp texture drink 2021
Château de Fuissé 2020  Saint-Véran,Château de Fuissé,2020.0,,Chardonnay,France,Burgundy,Saint-Véran,,24.0,88,"From vines in the northern part of the appellation, this ripe wine conveys peaches and apricots laced with lime. A vibrant, mineral wine with swathes of fresh acidity, it can be drunk now.",Roger Voss,@vossroger,vine northern part appellation ripe wine convey peach apricot lace lime vibrant mineral wine swathe fresh acidity drunk
Château de Santenay 2020  Chassagne-Montrachet,Château de Santenay,2020.0,,Chardonnay,France,Burgundy,Chassagne-Montrachet,,40.0,88,"This rich wine is full and has a good balance of acidity and fruit. The lightly mineral texture gives bite and crispness. It is still a young, tight wine needing another few months. Drink from 2021.",Roger Voss,@vossroger,rich wine full good balance acidity fruit lightly mineral texture give bite crispness still young tight wine need another month drink 2021
Christophe Cordier 2020 Vers Cras  (Pouilly-Fuissé),Christophe Cordier,2020.0,Vers Cras,Chardonnay,France,Burgundy,Pouilly-Fuissé,,29.0,88,"Spicy, fruity and attractive, this balanced wine has acidity, tight minerality, yellow fruits and a richer texture. Full bodied and generous, it will age well. Drink from 2021.",Roger Voss,@vossroger,spicy fruity attractive balanced wine acidity tight minerality yellow fruit rich texture full bodied generous age well drink 2021
Bouchard Père & Fils 2020  Pouilly-Fuissé,Bouchard Père & Fils,2020.0,,Chardonnay,France,Burgundy,Pouilly-Fuissé,,24.0,87,"Fresh, crisp and fruity, this is an immediately drinkable wine. It has great freshness, lively acidity and perfumed apple fruitiness. The acidity cuts through brightly and leaves a vibrant, textured aftertaste.",Roger Voss,@vossroger,fresh crisp fruity immediately drinkable wine great freshness lively acidity perfume apple fruitiness acidity cut brightly leave vibrant texture aftertaste
Cave de Lugny 2016 L'Aurore  (Mâcon-Villages),Cave de Lugny,2016.0,L'Aurore,Chardonnay,France,Burgundy,Mâcon-Villages,,,84,"A crisp, lemon-scented wine, then layering on butter, toast and ripe melon fruit flavors. It's immediately attractive, not needing any aging, with a soft, yet fresh, finish.",Roger Voss,@vossroger,crisp lemonscente wine layering butter toast ripe melon fruit flavor immediately attractive need age soft yet fresh finish
Alex Gambal 2020 La Maltroie Premier Cru  (Chassagne-Montrachet),Alex Gambal,2020.0,La Maltroie Premier Cru,Chardonnay,France,Burgundy,Chassagne-Montrachet,,54.0,94,"Crisp and packed with lively lemon-like acidity, this wine shows both minerality and intense fruitiness. Textured and tight, it has hints of yellow fruit in the background that will blossom as the wine develops. Drink from 2021.",Roger Voss,@vossroger,crisp pack lively lemonlike acidity wine show minerality intense fruitiness texture tight hint yellow fruit background blossom wine develop drink 2021
David Duband 2020 Aux Thorey Premier Cru  (Nuits-St.-Georges),David Duband,2020.0,Aux Thorey Premier Cru,Pinot Noir,France,Burgundy,Nuits-St.-Georges,,56.0,94,"From one of the highest premier cru vineyards comes a wine that has a cool edge, generous fruit and firm tannins. Those elements come together with black cherry flavors and a dry core, promising a serious future. Drink from 2023.",Roger Voss,@vossroger,one high premier cru vineyard come wine cool edge generous fruit firm tannin element come together black cherry flavor dry core promise serious future drink 2023
David Duband 2020 Les Sentiers Premier Cru  (Chambolle-Musigny),David Duband,2020.0,Les Sentiers Premier Cru,Pinot Noir,France,Burgundy,Chambolle-Musigny,,74.0,94,"This wine manages to combine firm structure with the finely perfumed fruit associated with Chambolle-Musigny. It's rich, fruity, lifted by acidity and held together by solid tannins. Impressive and full bodied, it's a wine to age. Drink from 2024.",Roger Voss,@vossroger,wine manage combine firm structure finely perfume fruit associate chambollemusigny rich fruity lift acidity hold together solid tannin impressive full bodied wine age drink 2024
Louis Jadot 2020 Clos des Ursules Premier Cru  (Beaune),Louis Jadot,2020.0,Clos des Ursules Premier Cru,Pinot Noir,France,Burgundy,Beaune,,58.0,94,"This dense and structured wine comes from a small walled vineyard within the larger Les Vignes Franches premier cru, partially owned by Louis Jadot. Robust tannins frame its rich, juicy black fruit, showing potential for long aging. Drink from 2024.",Roger Voss,@vossroger,dense structure wine come small walled vineyard within large les vigne franche premier cru partially own louis jadot robust tannin frame rich juicy black fruit show potential long aging drink 2024
Louis Jadot 2020 Les Boudots Premier Cru  (Nuits-St.-Georges),Louis Jadot,2020.0,Les Boudots Premier Cru,Pinot Noir,France,Burgundy,Nuits-St.-Georges,,72.0,93,"This wine comes from a vineyard owned by the Gagey situated in the northern part of Nuits-Saint-Georges, close to Vosne-Romanée. It has firm structure and a perfumed character that is already enticing. Richly fruity with juicy acidity, it will be impressive as it ages. Drink from 2023.",Roger Voss,@vossroger,wine come vineyard own gagey situate northern part nuitssaintgeorge close vosneromanée firm structure perfume character already entice richly fruity juicy acidity impressive age drink 2023
La Chablisienne 2011 Les Vénérables  (Chablis),La Chablisienne,2011.0,Les Vénérables,Chardonnay,France,Burgundy,Chablis,,37.0,89,"From old vines, at least 50 years old, this shows good concentration, giving a dense, ripe, rounded wine full of green apple fruits, hints of vanilla and streaks of minerality.",Roger Voss,@vossroger,old vine least 50 year old show good concentration give dense ripe rounded wine full green apple fruit hint vanilla streak minerality
La Chablisienne 2011 Côte de Léchet Premier Cru  (Chablis),La Chablisienne,2011.0,Côte de Léchet Premier Cru,Chardonnay,France,Burgundy,Chablis,,42.0,89,"This is a cool cru, which shows even in this great year with its structure, austerity and steely character. It makes it old-style Chablis, with its green fruits and lively, poised freshness.",Roger Voss,@vossroger,cool cru show even great year structure austerity steely character make oldstyle chablis green fruit lively poise freshness
Louis Jadot 2018  Mâcon-Villages,Louis Jadot,2018.0,,Chardonnay,France,Burgundy,Mâcon-Villages,,19.0,87,"With touches of vanilla and caramel as well as ripe yellow fruits, this is a warm, generous Chardonnay. It has freshness from the citrus edge and a soft texture. Straightforward, it is an open and ready-to-drink wine.",Roger Voss,@vossroger,touch vanilla caramel well ripe yellow fruit warm generous chardonnay freshness citrus edge soft texture straightforward open readytodrink wine
Henri de Villamont 2018 Les Champs Claude  (Santenay),Henri de Villamont,2018.0,Les Champs Claude,Pinot Noir,France,Burgundy,Santenay,,,88,"With a good structure, this is a solid wine from a small vineyard. It is dense with tannins as well as dark berry fruits and fresh acidity at the end. The wine will age well over the next few years, so drink from 2021.",Roger Voss,@vossroger,good structure solid wine small vineyard dense tannin well dark berry fruit fresh acidity end wine age well next year drink 2021
Louis Jadot 2015 Petite Chapelle Premier Cru  (Gevrey-Chambertin),Louis Jadot,2015.0,Petite Chapelle Premier Cru,Pinot Noir,France,Burgundy,Gevrey-Chambertin,,82.0,94,"At this stage, the wine is all dark structure and very firm. It will need time to develop its full potential as an intensely rich wine. Concentrated and firm, it is powered by tannins as well as sweet red fruits. So age for five years at least.",Roger Voss,@vossroger,stage wine dark structure firm need time develop full potential intensely rich wine concentrate firm power tannin well sweet red fruit age five year least
Domaine Leflaive 2015 Les Combettes Premier Cru  (Puligny-Montrachet),Domaine Leflaive,2015.0,Les Combettes Premier Cru,Chardonnay,France,Burgundy,Puligny-Montrachet,,178.0,94,"While the aromas of this young wine reveal considerable toast, on the palate the wine brings forward the ripe apricot and mango flavors to go with that wood. As it matures, these elements will coalesce with the taut, tense mineral texture into an superb, ageworthy terroir-driven wine.",Roger Voss,@vossroger,aromas young wine reveal considerable toast palate wine bring forward ripe apricot mango flavor go wood mature element coalesce taut tense mineral texture superb ageworthy terroirdriven wine
Domaine Leflaive 2015 Les Pucelles Premier Cru  (Puligny-Montrachet),Domaine Leflaive,2015.0,Les Pucelles Premier Cru,Chardonnay,France,Burgundy,Puligny-Montrachet,,203.0,94,"This rich wine balances ripe yellow fruits with intense citrus acidity in a harmonious whole. Its structure is laden with minerality, toast and a smooth, delicious creamy aftertaste.",Roger Voss,@vossroger,rich wine balance ripe yellow fruit intense citrus acidity harmonious whole structure laden minerality toast smooth delicious creamy aftertaste
Domaines Devillard 2017 Château de Chamirey  (Mercurey),Domaines Devillard,2017.0,Château de Chamirey,Chardonnay,France,Burgundy,Mercurey,,33.0,88,"Full-bodied wine with ripe pear and red apple flavors, laced with delicate acidity. It's an elegant wine, a fine balance with a more mineral, tight texture as a counterpoint. Drink from 2018.",Roger Voss,@vossroger,fullbodie wine ripe pear red apple flavor lace delicate acidity elegant wine fine balance mineral tight texture counterpoint drink 2018
Domaines Devillard 2017 Château de Chamirey  (Mercurey),Domaines Devillard,2017.0,Château de Chamirey,Pinot Noir,France,Burgundy,Mercurey,,33.0,88,"A smooth and rounded wine, its ripe plum and blueberry flavors well integrated into the soft tannins and sweet acidity. Drinkable now, but worth waiting for two more years.",Roger Voss,@vossroger,smooth rounded wine ripe plum blueberry flavor well integrate soft tannin sweet acidity drinkable worth wait two year
Domaines Devillard 2017 Domaine de la Ferté Premier Cru Servoisine  (Givry),Domaines Devillard,2017.0,Domaine de la Ferté Premier Cru Servoisine,Pinot Noir,France,Burgundy,Givry,,36.0,88,"Very dark, structured wine, with coffee as well as fruit flavors. The wood comes through firmly producing a solid, very dry character. The more juicy black currant fruits are still to show well. So wait to drink until 2019.",Roger Voss,@vossroger,dark structured wine coffee well fruit flavor wood come firmly produce solid dry character juicy black currant fruit still show well wait drink 2019
Joseph Drouhin 2018  Chorey-lès-Beaune,Joseph Drouhin,2018.0,,Pinot Noir,France,Burgundy,Chorey-lès-Beaune,,29.0,88,"This wine is fresh, perfumed with a juicy red-fruit character. It offers red cherries, with a soft texture and acidity. The great fruitiness leads to a bright, crisp aftertaste.",Roger Voss,@vossroger,wine fresh perfume juicy redfruit character offer red cherry soft texture acidity great fruitiness lead bright crisp aftertaste
Antonin Rodet 2016  Givry,Antonin Rodet,2016.0,,Pinot Noir,France,Burgundy,Givry,,39.0,90,"Givry is one of the unsung values in Burgundy. This ripe and structured wine shows why. It has weight, a firm texture and red plum and strawberry fruit flavors. All these elements are held together by a dark sense of tannin and fine acidity.",Roger Voss,@vossroger,givry one unsung value burgundy ripe structure wine show weight firm texture red plum strawberry fruit flavor element hold together dark sense tannin fine acidity
Damien et Romain Bouchard 2017 Montée de Tonnerre Premier Cru  (Chablis),Damien et Romain Bouchard,2017.0,Montée de Tonnerre Premier Cru,Chardonnay,France,Burgundy,Chablis,,,90,"A complex wine, full of tight textures, apple skins and mineral acidity. This is a wine for aging, its wood character beautifully judged, rounding out the crisp final texture. Drink from 2020.",Roger Voss,@vossroger,complex wine full tight texture apple skin mineral acidity wine age wood character beautifully judge round crisp final texture drink 2020
Manuel Olivier 2018 Vieilles Vignes  (Bourgogne Hautes Côtes de Nuits),Manuel Olivier,2018.0,Vieilles Vignes,Pinot Noir,France,Burgundy,Bourgogne Hautes Côtes de Nuits,,25.0,86,"In this case, Vieilles Vignes (old vines) only means vines over 20 years. The wine is soft, rounded and full of red cherry fruitiness. Judicious wood aging has rounded the wine out while leaving all its fruit intact. It can be drunk now, but will be better from 2020.",Roger Voss,@vossroger,case vieille vigne old vine mean vine 20 year wine soft rounded full red cherry fruitiness judicious wood age round wine leave fruit intact drunk well 2020
Vignerons de Buxy 2018 Buissonnier  (Mercurey),Vignerons de Buxy,2018.0,Buissonnier,Pinot Noir,France,Burgundy,Mercurey,,23.0,86,"This light-colored wine has a spicy character that points up the tannins as well as the red berry fruits. It has a light feeling, with refreshing acidity that shows strongly at the end. It's ready to drink.",Roger Voss,@vossroger,lightcolore wine spicy character point tannin well red berry fruit light feel refreshing acidity show strongly end ready drink
Jaffelin 2019 Les Villages de Jaffelin  (Mâcon-Péronne),Jaffelin,2019.0,Les Villages de Jaffelin,Chardonnay,France,Burgundy,Mâcon-Péronne,,19.0,86,"One of the lesser-known of the many Mâcon appellations, Péronne is close to Clessé. The wine is smooth, ripe and fruity, with a creamed pear and lightly lemon flavor. With a hint of minerality, it could age until 2020.",Roger Voss,@vossroger,one lesserknown many mâcon appellations péronne close clessé wine smooth ripe fruity creamed pear lightly lemon flavor hint minerality could age 2020
Jean-Luc and Paul Aegerter 2018 Clos des Rois Premier Cru  (Maranges),Jean-Luc and Paul Aegerter,2018.0,Clos des Rois Premier Cru,Pinot Noir,France,Burgundy,Maranges,,,86,"From the recent appellation at the southern end of the Côte de Beaune, this is a light and very fruity wine with little discernible tannin or structure. Red cherries and fresh acidity dominate and the wine should be drunk young.",Roger Voss,@vossroger,recent appellation southern end côte de beaune light fruity wine little discernible tannin structure red cherry fresh acidity dominate wine drunk young
Simonnet-Febvre 2013 Sauvignon de Saint-Bris  (Saint-Bris),Simonnet-Febvre,2013.0,Sauvignon de Saint-Bris,Sauvignon Blanc,France,Burgundy,Saint-Bris,,17.0,84,"In a piece of French wine shorthand, the new appellation of Saint-Bris takes in the old Sauvignon de Saint-Bris wines. The style, though, hasn't changed: an attractive, if rustic type, with crisp gooseberry and grapefruit flavors and a fresh burst of acidity. Screwcap.",Roger Voss,@vossroger,piece french wine shorthand new appellation saintbris take old sauvignon de saintbris wine style though have not change attractive rustic type crisp gooseberry grapefruit flavor fresh burst acidity screwcap
Simonnet-Febvre 2012  Chablis,Simonnet-Febvre,2012.0,,Chardonnay,France,Burgundy,Chablis,,29.0,86,"A ripe, crisp, very fresh Chablis bursting with green fruits, with a light layer of caramel and green herbs. Delicious now.",Roger Voss,@vossroger,ripe crisp fresh chabli burst green fruit light layer caramel green herbs delicious
Joseph Drouhin 2014  Charmes-Chambertin,Joseph Drouhin,2014.0,,Pinot Noir,France,Burgundy,Charmes-Chambertin,,148.0,95,"Structured, concentrated, a wine that shows power from both fruit and tannins. The opulent strawberry flavors are paralleled by firm, dry tannins. As the combination comes together, this will become a glorious wine.",Roger Voss,@vossroger,structure concentrate wine show power fruit tannin opulent strawberry flavor parallel firm dry tannin combination come together become glorious wine
Chanson Père et Fils 2014  Charmes-Chambertin,Chanson Père et Fils,2014.0,,Pinot Noir,France,Burgundy,Charmes-Chambertin,,166.0,94,"Big, full-bodied wine, the great tannins dominating the underlying red fruit. It's firmly concentrated, intense, a powerhouse of dense texture and obviously a wine that will need aging. Give it 5–6 years.",Roger Voss,@vossroger,big fullbodie wine great tannin dominate underlie red fruit firmly concentrate intense powerhouse dense texture obviously wine need aging give 5–6 year
Chanson Père et Fils 2014  Clos de Vougeot,Chanson Père et Fils,2014.0,,Pinot Noir,France,Burgundy,Clos de Vougeot,,178.0,94,"Very dense wine, its tannins solid and concentrated. The structure is the leader here, with the young fruit showing through as black plum skins and crushed strawberries. This is a firmly tannic wine, needing aging.",Roger Voss,@vossroger,dense wine tannin solid concentrated structure leader young fruit show black plum skin crush strawberry firmly tannic wine need age
Domaine Leflaive 2014 Clavoillon Premier Cru  (Puligny-Montrachet),Domaine Leflaive,2014.0,Clavoillon Premier Cru,Chardonnay,France,Burgundy,Puligny-Montrachet,,133.0,94,"Beautiful lemon-scented wine, balancing rich butter and apricot flavors with intense, pure acidity. The wine at this stage is toast and fruit, still coalescing into its long-term future.",Roger Voss,@vossroger,beautiful lemonscente wine balance rich butter apricot flavor intense pure acidity wine stage toast fruit still coalesce longterm future
Joseph Drouhin 2014 Clos des Mouches Premier Cru  (Beaune),Joseph Drouhin,2014.0,Clos des Mouches Premier Cru,Pinot Noir,France,Burgundy,Beaune,,91.0,94,"The aromas of smoky new wood follow through to the wood flavors on the palate. However, it's the powerful sweet black cherry and red berry fruit flavors, layered with fruit tannins and acidity, that are driving this impressive wine. For aging at least six years.",Roger Voss,@vossroger,aroma smoky new wood follow wood flavor palate however powerful sweet black cherry red berry fruit flavor layer fruit tannin acidity drive impressive wine age least six year
Bouchard Aîné & Fils 2011 Les Marconnets Premier Cru  (Beaune),Bouchard Aîné & Fils,2011.0,Les Marconnets Premier Cru,Pinot Noir,France,Burgundy,Beaune,,54.0,89,"Typical Beaune in its round, soft character. If the tannins are not particularly powerful, it still shows a generous nature, with super-ripe fruits supported by some dryness. The finish is jammy, ripe, a salad of red berries.",Roger Voss,@vossroger,typical beaune round soft character tannin particularly powerful still show generous nature superripe fruit support dryness finish jammy ripe salad red berry
Joseph Drouhin 2018  Pouilly-Fuissé,Joseph Drouhin,2018.0,,Chardonnay,France,Burgundy,Pouilly-Fuissé,,21.0,84,"This wine is missing great depth of flavor. It has bright acidity and hints of peach fruit flavors, but remains dull.",Roger Voss,@vossroger,wine miss great depth flavor bright acidity hint peach fruit flavor remain dull
